coc_number,coc_name,year,overall_homeless,overall_homeless_individuals,overall_homeless_people_in_families,overall_homeless_family_households,overall_chronically_homeless_individuals,sheltered_es_homeless,sheltered_es_homeless_individuals,sheltered_es_homeless_people_in_families,sheltered_es_homeless_family_households,sheltered_th_homeless,sheltered_th_homeless_individuals,sheltered_th_homeless_people_in_families,sheltered_th_homeless_family_households,sheltered_total_homeless,sheltered_total_homeless_individuals,sheltered_total_homeless_people_in_families,sheltered_total_homeless_family_households,sheltered_total_chronically_homeless_individuals,unsheltered_homeless,unsheltered_homeless_individuals,unsheltered_homeless_people_in_families,unsheltered_homeless_family_households,unsheltered_chronically_homeless_individuals
FL-510,"Jacksonville-Duval, Clay Counties CoC",2024,1339.0,1100.0,239.0,73.0,111.0,477.0,298.0,179.0,62.0,302.0,249.0,53.0,9.0,779.0,547.0,232.0,71.0,37.0,560.0,553.0,7.0,2.0,74.0
FL-511,"Pensacola/Escambia, Santa Rosa Counties CoC",2024,1123.0,1025.0,98.0,25.0,365.0,275.0,226.0,49.0,13.0,304.0,262.0,42.0,10.0,579.0,488.0,91.0,23.0,81.0,544.0,537.0,7.0,2.0,284.0
FL-512,St. Johns County CoC,2024,442.0,362.0,80.0,33.0,122.0,109.0,70.0,39.0,16.0,66.0,39.0,27.0,11.0,175.0,109.0,66.0,27.0,31.0,267.0,253.0,14.0,6.0,91.0
FL-513,"Palm Bay, Melbourne/Brevard County CoC",2024,1116.0,959.0,157.0,56.0,350.0,81.0,38.0,43.0,18.0,246.0,168.0,78.0,26.0,337.0,216.0,121.0,44.0,1.0,779.0,743.0,36.0,12.0,349.0
FL-514,Ocala/Marion County CoC,2024,378.0,282.0,96.0,33.0,70.0,104.0,60.0,44.0,13.0,75.0,23.0,52.0,20.0,179.0,83.0,96.0,33.0,8.0,199.0,199.0,0.0,0.0,62.0
FL-515,"Panama City/Bay, Jackson Counties CoC",2024,499.0,433.0,66.0,22.0,59.0,67.0,32.0,35.0,12.0,59.0,59.0,0.0,0.0,126.0,91.0,35.0,12.0,2.0,373.0,342.0,31.0,10.0,57.0
FL-517,"Hendry, Hardee, Highlands Counties CoC",2024,641.0,358.0,283.0,68.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641.0,358.0,283.0,68.0,9.0
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",2024,527.0,341.0,186.0,63.0,21.0,59.0,15.0,44.0,12.0,13.0,13.0,0.0,0.0,72.0,28.0,44.0,12.0,0.0,455.0,313.0,142.0,51.0,21.0
FL-519,Pasco County CoC,2024,731.0,593.0,138.0,41.0,108.0,120.0,45.0,75.0,21.0,184.0,121.0,63.0,20.0,304.0,166.0,138.0,41.0,6.0,427.0,427.0,0.0,0.0,102.0
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",2024,786.0,565.0,221.0,67.0,99.0,115.0,39.0,76.0,23.0,226.0,110.0,116.0,37.0,341.0,149.0,192.0,60.0,1.0,445.0,416.0,29.0,7.0,98.0
FL-600,Miami-Dade County CoC,2024,3800.0,2546.0,1254.0,409.0,924.0,2410.0,1283.0,1127.0,371.0,343.0,216.0,127.0,38.0,2767.0,1513.0,1254.0,409.0,560.0,1033.0,1033.0,0.0,0.0,364.0
FL-601,Ft Lauderdale/Broward County CoC,2024,2469.0,2054.0,415.0,119.0,579.0,664.0,451.0,213.0,61.0,181.0,36.0,145.0,44.0,845.0,487.0,358.0,105.0,162.0,1624.0,1567.0,57.0,14.0,417.0
FL-602,Punta Gorda/Charlotte County CoC,2024,343.0,267.0,76.0,27.0,0.0,111.0,70.0,41.0,18.0,23.0,23.0,0.0,0.0,134.0,93.0,41.0,18.0,0.0,209.0,174.0,35.0,9.0,0.0
